adt,4.0.0.12575,com.adobe.flex,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex&a=adt&v=4.0.0.12575&e=pom, ,
adt,3.2.0.3958,com.adobe.flex,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex&a=adt&v=3.2.0.3958&e=pom, ,
aduna-clustermap-gnizr,2006.3-beta2,com.gnizr.aduna,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=com.gnizr.aduna&a=aduna-clustermap-gnizr&v=2006.3-beta2&e=pom, ,
aduna-opensource-root-pom,5,org.aduna-software,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=org.aduna-software&a=aduna-opensource-root-pom&v=5&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/;http://repo.aduna-software.org/websvn/],
aduna-opensource-root-pom,4,org.aduna-software,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=org.aduna-software&a=aduna-opensource-root-pom&v=4&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/;http://repo.aduna-software.org/websvn/],
aduna-opensource-root-pom,3,org.aduna-software,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=org.aduna-software&a=aduna-opensource-root-pom&v=3&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/;http://repo.aduna-software.org/viewvc/],
aduna-opensource-root-pom,2,org.aduna-software,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=org.aduna-software&a=aduna-opensource-root-pom&v=2&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/;http://repo.aduna-software.org/viewvc/],
aduna-opensource-root-pom,1,org.aduna-software,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=org.aduna-software&a=aduna-opensource-root-pom&v=1&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/;http://repo.aduna-software.org/viewvc/],
aduna-commons-xml,2.7.0,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-xml&v=2.7.0&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/xml/tags/2.7.0;http://repo.aduna-software.org/websvn/listing.php?repname=aduna&path=/info.aduna/commons/xml/tags/2.7.0?repname=aduna&path=/info.aduna/commons/xml/trunk/],
aduna-commons-xml,2.6.0,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-xml&v=2.6.0&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/xml/tags/2.6.0;http://repo.aduna-software.org/websvn/listing.php?repname=aduna&path=/info.aduna/commons/xml/branches/2.6?repname=aduna&path=/info.aduna/commons/xml/tags/2.6.0?repname=aduna&path=/info.aduna/commons/xml/branches/2.6?repname=aduna&path=/info.aduna/commons/xml/trunk/],
aduna-commons-xml,2.5.0,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-xml&v=2.5.0&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/xml/tags/2.5.0;http://repo.aduna-software.org/viewvc/info.aduna/commons/xml/tags/2.5.0],
aduna-commons-xml,2.2,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-xml&v=2.2&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/xml/tags/2.2;http://repo.aduna-software.org/viewvc/info.aduna/commons/xml/tags/2.2],
aduna-commons-webapp-core,2.8.0,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-webapp-core&v=2.8.0&e=pom, ,
